Date, Open, High, Low, Close
1/16/2004,6068.66,6072.03,5914.02,5946.19
1/15/2004,6219.81,6248.81,6045.3,6063.91
1/14/2004,6157.88,6215.02,6157.88,6194.11
1/13/2004,6084.65,6147.74,6011.57,6132.97
1/12/2004,6152.22,6152.22,6037.3,6067.76
1/9/2004,6211.06,6249.6,6096.68,6119.59
1/8/2004,5992.1,6118.62,5992.1,6108.54
1/7/2004,5970.35,5985.3,5870.55,5957.02
1/6/2004,6068.68,6121.2,5916.33,5943.64
1/5/2004,6050.48,6078.11,5964.65,6039
1/2/2004,5944.23,6034.38,5944.23,6026.59
12/31/2003,5812.38,5876.55,5801.52,5838.96
12/30/2003,5831.78,5920.76,5762.6,5791.85
12/29/2003,5725.44,5814.26,5725.44,5797.33
12/26/2003,5650.74,5705.3,5650.74,5699.24
12/24/2003,5566.05,5648.24,5560.23,5641.92
12/23/2003,5590.01,5616.25,5550.52,5564.33
12/22/2003,5547.68,5590.45,5543.98,5577.96
12/19/2003,5486.63,5555.68,5486.63,5541.35
12/18/2003,5432.46,5466.3,5407.46,5455
12/17/2003,5437.26,5457.88,5401.09,5418.23
12/16/2003,5374.15,5445.34,5351.21,5437.05
12/15/2003,5353.7,5399.08,5351.03,5390.88
12/12/2003,5321.49,5343.91,5283.75,5315.81
12/11/2003,5306.62,5317.41,5253.81,5299.96
12/10/2003,5234.72,5300.79,5220.6,5285.54
12/9/2003,5143.19,5232.49,5143.19,5229.34
12/8/2003,5144.95,5163.01,5089.57,5131.54
12/5/2003,5245.75,5263.11,5125.07,5131.72
12/4/2003,5229.18,5252.21,5174.86,5225.9
12/3/2003,5198.74,5246.74,5178.22,5221.9
12/2/2003,5187.73,5204.57,5123.8,5186.08
12/1/2003,5086.86,5166.56,5082.82,5160.85
11/28/2003,4995.15,5050.56,4991.24,5044.82
11/27/2003,4907.38,5000.41,4907.38,4989.04
11/25/2003,4845.1,4900.21,4843.46,4894.59
11/24/2003,4852.12,4858.43,4803.8,4822.15
11/21/2003,4770.75,4851.67,4736.7,4838.54
11/20/2003,4840.8,4878.81,4763.53,4771.23
11/19/2003,4868.43,4868.43,4800.67,4823.73
11/18/2003,4955.32,4981.48,4875.46,4891.13
11/17/2003,4907.02,4959.96,4882.97,4940.23
11/14/2003,4948.77,4961.37,4854.16,4865.83
11/13/2003,5027.99,5053.49,4941.49,4949.16
11/12/2003,5040.55,5059.98,4998.26,5005.77
11/11/2003,4998.79,5039.2,4988.88,5030.64
11/10/2003,4962.22,5017.9,4909.66,4998.57
11/7/2003,5071.2,5092.7,4965.5,4971.57
11/6/2003,5080.05,5118.08,5030.04,5047.54
11/5/2003,5116.86,5127.79,5021.97,5064.91
11/4/2003,5096.16,5135,5055.57,5097.84
11/3/2003,4946.93,5068.66,4946.93,5063.03
10/31/2003,4787.05,4913.18,4779.09,4906.87
10/30/2003,4751.83,4805.72,4735.77,4780.52
10/29/2003,4732.79,4747.59,4684.42,4744.1
10/28/2003,4710.22,4748.19,4666.19,4707.8
10/27/2003,4802.07,4814.32,4689.09,4698.28
10/24/2003,4654.27,4772.07,4599.61,4757.37
10/23/2003,4744.48,4755.94,4634.9,4648.41
10/22/2003,4772.84,4801.7,4705.41,4741.2
10/21/2003,4868,4880.66,4727.43,4755.72
10/20/2003,4951.11,4951.11,4838.7,4851.67
10/17/2003,4912.27,4949.23,4901.59,4930.53
10/16/2003,4887.04,4921.65,4865.26,4887.32
10/15/2003,4790.54,4867.91,4738.72,4855.26
10/14/2003,4866.12,4900.92,4765.35,4782.03
10/13/2003,4787.75,4859.93,4786.69,4849.27
10/10/2003,4735.09,4780.77,4730.31,4768.9
10/9/2003,4643.32,4710.28,4643.32,4698.68
10/8/2003,4646.63,4667.49,4586.96,4634.86
10/7/2003,4644.86,4688.33,4601.16,4632.94
10/6/2003,4567.68,4637.27,4552.39,4631.39
10/3/2003,4465.44,4556.89,4465.44,4552.92
10/1/2003,4452.07,4487.05,4432.93,4455.08
9/30/2003,4428.16,4456.41,4413.72,4453.24
9/29/2003,4392.87,4426.3,4385.54,4402.05
9/26/2003,4299.66,4388.83,4299.66,4382.57
9/25/2003,4347.23,4360.72,4285.01,4297.15
9/24/2003,4249.93,4366.83,4229.87,4356.39
9/23/2003,4138.01,4240.02,4111.54,4231.69
9/22/2003,4230.91,4237.42,4141.8,4151.72
9/19/2003,4159.72,4224.73,4097.55,4217.12
9/18/2003,4243.01,4251.54,4126.22,4134.15
9/17/2003,4299.37,4330.85,4222.6,4235.35
9/16/2003,4195.1,4290.07,4134.69,4274.75
9/15/2003,4310.17,4310.17,4184.11,4193.83
9/12/2003,4407.72,4437,4297.71,4305.91
9/11/2003,4423.71,4463.38,4381.09,4393.13
9/10/2003,4410.12,4438.23,4378.65,4434.26
9/9/2003,4458.64,4473.57,4398.09,4425.2
9/8/2003,4399.61,4444.62,4399.61,4434.25
9/5/2003,4314.68,4371.98,4314.68,4369.17
9/4/2003,4276.4,4328.37,4257.41,4310.51
9/3/2003,4361.87,4367.87,4248.86,4257.94
9/2/2003,4341.73,4358.3,4291.96,4339.2
9/1/2003,4248.07,4329.57,4248.07,4324.76
8/29/2003,4235.26,4277.64,4228.85,4244.73
8/28/2003,4256.07,4256.07,4179.33,4212.29
8/27/2003,4173.36,4222.39,4173.36,4205.56
8/26/2003,4021.91,4160.02,4021.91,4152.29
8/25/2003,4149.82,4170.58,3943.66,4004.63
8/22/2003,4146.56,4149.54,4084.19,4125.12
8/21/2003,4075.17,4106.71,4073.06,4095.39
8/20/2003,4027.6,4066.03,4027.6,4056.6
8/19/2003,3985.77,4026.27,3981.92,4006.91
8/18/2003,3932.37,3985.46,3928.17,3977.73
8/14/2003,3932.59,3959.1,3908.7,3921.2
8/13/2003,3910.86,3935.8,3874.34,3926.07
8/12/2003,3907.03,3938.91,3879.35,3889.41
8/11/2003,3842.14,3915.9,3842.14,3893.41
8/8/2003,3824.26,3890.78,3823.39,3883.76
8/7/2003,3749.18,3816.16,3733.63,3806.83
8/6/2003,3754.65,3798.87,3722.08,3741.66
8/5/2003,3845.93,3878.72,3761.84,3765.82
8/4/2003,3798.81,3840.72,3785.85,3832.5
8/1/2003,3800.73,3831.96,3779.73,3815.31
7/31/2003,3796.53,3835.75,3785.12,3792.61
7/30/2003,3761.76,3799.89,3759.98,3780.42
7/29/2003,3731.85,3771.35,3694.94,3764.44
7/28/2003,3745.99,3775.65,3730.07,3739.76
7/25/2003,3685.31,3737.76,3661.69,3726.46
7/24/2003,3595.6,3678.38,3572.64,3668.07
7/23/2003,3571.75,3596.59,3551.98,3577.89
7/22/2003,3557.13,3582.08,3534.06,3554.13
7/21/2003,3655.26,3664.64,3564.41,3569.58
7/18/2003,3651.39,3684.23,3625.73,3647.58
7/17/2003,3728.84,3750,3660.34,3668.91
7/16/2003,3702.14,3729.4,3662.7,3721.65
7/15/2003,3719.17,3733.88,3657.18,3686.34
7/14/2003,3704.63,3726.56,3704.63,3720.75
7/11/2003,3682.09,3714.84,3659.21,3676.26
7/10/2003,3639.42,3684.18,3639.42,3679.63
7/9/2003,3635.86,3644.88,3604.96,3620.79
7/8/2003,3628.02,3645.64,3623.02,3629.68
7/7/2003,3631.46,3645.42,3607.1,3612.53
7/4/2003,3642.3,3661.87,3610.11,3622.34
7/3/2003,3616.98,3661.99,3592.18,3639.89
7/2/2003,3613.42,3640.97,3596.47,3601.39
7/1/2003,3617.74,3622.89,3584.73,3604.43
6/30/2003,3585.57,3632.84,3585.57,3607.13
6/27/2003,3577.96,3589.54,3532.52,3583.06
6/26/2003,3528.28,3564.68,3522.05,3552.4
6/25/2003,3456.85,3526.86,3456.85,3517.27
6/24/2003,3441.07,3473.23,3438.27,3447.45
6/23/2003,3500.19,3510.11,3457.44,3461.38
6/20/2003,3450.57,3503.01,3427.36,3499.5
6/19/2003,3429,3467.26,3429,3454.6
6/18/2003,3440.69,3452.73,3417.74,3430.96
6/17/2003,3364.1,3435.68,3362.34,3431.03
6/16/2003,3358.38,3361.98,3325.44,3336.64
6/13/2003,3342.65,3364.02,3338.9,3354.14
6/12/2003,3318.9,3340.98,3318.9,3337.3
6/11/2003,3289.36,3327.61,3287.72,3314.6
6/10/2003,3332.66,3350.02,3281.21,3289.55
6/9/2003,3304.65,3351.36,3295.14,3337.31
6/6/2003,3270.06,3313.54,3270.06,3303.24
6/5/2003,3233.05,3274.45,3233.05,3262.2
6/4/2003,3187.41,3220.19,3187.41,3216.49
6/3/2003,3212.99,3214.33,3176.77,3181.97
6/2/2003,3176.56,3220.14,3170.38,3206.38
5/30/2003,3172.05,3200.48,3158.74,3180.75
5/29/2003,3116.85,3171.8,3116.85,3164.25
5/28/2003,3093.72,3133.17,3086.15,3130.46
5/27/2003,3103.56,3118.58,3076.99,3081.94
5/26/2003,3051.3,3101.75,3050.16,3096.69
5/23/2003,3041.63,3060.48,3036.42,3049.84
5/22/2003,3055.2,3067.12,3032.91,3040.79
5/21/2003,3068.12,3092.38,3054.47,3057.09
5/20/2003,3032.85,3066.29,3025.2,3062.92
5/19/2003,3063.14,3082.21,3039.93,3043.89
5/16/2003,3019.48,3059.42,3019.48,3056.58
5/15/2003,2996.67,3016.94,2993.39,3012.97
5/14/2003,2959.51,2997.64,2959.51,2993.94
5/13/2003,2947.03,2964.96,2947.03,2960.62
5/12/2003,2955.19,2965.37,2934.78,2942.78
5/9/2003,2953.12,2960.92,2943.84,2950
5/8/2003,2980.25,2989.23,2953.42,2961.6
5/7/2003,2988.18,3003,2978.54,2980.74
5/6/2003,2981.87,3001.21,2972.33,2993
5/5/2003,2977.47,2988.69,2967.88,2975.47
5/2/2003,2949.04,2968.96,2939.16,2966.63
4/30/2003,2942.42,2962.4,2942.42,2959.79
4/29/2003,2949.04,2961.47,2944.13,2950.14
4/28/2003,2909.42,2942.45,2904.44,2936.71
4/25/2003,2935.08,2937.59,2908.29,2924.03
4/24/2003,2951.09,2973.03,2932.34,2937.23
4/23/2003,2997.34,3009.01,2943.45,2947.33
4/22/2003,2994.5,2998.13,2971.69,2985.54
4/21/2003,2992.9,3002.11,2985.6,2996.97
4/17/2003,3002.68,3011.92,2971.94,2984.5
4/16/2003,3005.35,3037.3,3000.72,3032.32
