Date, Open, High, Low, Close
08/01/90, 1586.9, 1586.9, 1586.9, 1586.9
07/31/90, 1573.9, 1572.7, 1572.7, 1573.9
07/30/90, 1565.2, 1563.9, 1563.9, 1565.2
07/27/90, 1577.9, 1578.7, 1578.7, 1577.9
07/26/90, 1590.8, 1590.2, 1590.2, 1590.8
07/25/90, 1591.5, 1590.3, 1590.3, 1591.5
07/24/90, 1587.0, 1588.8, 1588.8, 1587.0
07/23/90, 1598.4, 1599.3, 1599.3, 1598.4
07/20/90, 1601.5, 1602.7, 1602.7, 1601.5
07/19/90, 1607.4, 1608.2, 1608.2, 1607.4
07/18/90, 1615.5, 1615.7, 1615.7, 1615.5
07/17/90, 1624.0, 1623.0, 1623.0, 1624.0
07/16/90, 1608.5, 1607.8, 1607.8, 1608.5
07/13/90, 1601.0, 1598.8, 1598.8, 1601.0
07/12/90, 1607.2, 1606.5, 1606.5, 1607.2
07/11/90, 1591.8, 1591.8, 1591.8, 1591.8
07/10/90, 1581.3, 1581.0, 1581.0, 1581.3
07/09/90, 1586.9, 1587.1, 1587.1, 1586.9
07/06/90, 1554.3, 1554.4, 1554.4, 1554.3
07/05/90, 1557.7, 1558.1, 1558.1, 1557.7
07/04/90, 1540.8, 1539.4, 1539.4, 1540.8
07/03/90, 1512.8, 1512.7, 1512.7, 1512.8
07/02/90, 1496.6, 1495.8, 1495.8, 1496.6
06/29/90, 1500.7, 1502.5, 1502.5, 1500.7
06/28/90, 1494.6, 1494.1, 1494.1, 1494.6
06/27/90, 1504.1, 1501.6, 1501.6, 1504.1
06/26/90, 1513.1, 1513.5, 1513.5, 1513.1
06/25/90, 1512.8, 1511.9, 1511.9, 1512.8
06/22/90, 1512.5, 1513.0, 1513.0, 1512.5
06/21/90, 1505.4, 1505.6, 1505.6, 1505.4
06/20/90, 1502.8, 1501.8, 1501.8, 1502.8
06/19/90, 1499.3, 1498.9, 1498.9, 1499.3
06/18/90, 1505.8, 1505.3, 1505.3, 1505.8
06/15/90, 1502.4, 1502.6, 1502.6, 1502.4
